,std_dev
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.003057998
337,0.003392242
338,0.0037583346
339,0.0035117185
340,0.0032516888
341,0.0021543012
342,0.00074091594
343,0.00094905496
344,0.0014219767
345,0.0017203228
346,0.001620344
347,0.0017885357
348,0.002162163
349,0.0028059997
350,0.002978983
351,0.003185544
352,0.0038226997
353,0.0032144026
354,0.0020214585
355,0.001518882
356,0.0026185168
357,0.0030005935
358,0.0023477222
359,0.002219341
360,0.00150821
361,0.001149155
362,0.0010165721
363,0.0013708516
364,0.0013017902
365,0.0009977603
366,0.00076621305
367,0.0009732488
368,0.0013392358
369,0.0014997729
370,0.002930224
371,0.0031671913
372,0.0022423542
373,0.0032880832
374,0.003975859
375,0.0031670535
376,0.0025843496
377,0.0035032548
378,0.003659796
379,0.0032336935
380,0.0025445947
381,0.0015077274
382,0.002048304
383,0.002977664
384,0.0032555084
385,0.0031833414
386,0.0027497273
387,0.0026324287
388,0.0030736236
389,0.0030870966
390,0.0022288412
391,0.0011641516
392,0.00061760406
393,0.0009306298
394,0.0014150419
395,0.0016645724
396,0.001645068
397,0.0013608368
398,0.0016064541
399,0.0012972888
400,0.000342304
401,0.00068935286
402,0.0010397832
403,0.0008241865
404,0.00064917136
405,0.0008702193
406,0.0014974813
407,0.0031611207
408,0.0042765187
409,0.0045306077
410,0.004791339
411,0.0043368395
412,0.003029571
413,0.0018239041
414,0.0011989806
415,0.0020316693
416,0.0031873616
417,0.0039195563
418,0.0038593425
419,0.0030581313
420,0.0020871102
421,0.0019686942
422,0.0018783191
423,0.001515717
424,0.0019024902
425,0.0033974114
426,0.0036402286
427,0.0020781383
428,0.0007796928
429,0.0015641003
430,0.0025219852
431,0.0036137728
432,0.00415851
433,0.0037750627
434,0.0041220766
435,0.0039619114
436,0.0023896818
437,0.001186144
438,0.0004933216
439,0.00087405695
440,0.0014833827
441,0.0026537464
442,0.0027015167
443,0.0017279526
444,0.00095285
445,0.0003980468
446,0.00058686855
447,0.0010847432
448,0.0019562517
449,0.0025319592
450,0.003001854
451,0.0037103181
452,0.0046664085
453,0.0050591514
454,0.004599595
455,0.0030798384
456,0.0016503141
457,0.00093322183
458,0.0026754276
459,0.003160384
460,0.0020196724
461,0.0013844776
462,0.0017460649
463,0.0016111938
464,0.0016131253
465,0.0034255898
466,0.0054058717
467,0.006831879
468,0.00686096
469,0.0058296863
470,0.004327212
471,0.0028798918
472,0.002642316
473,0.0023411305
474,0.0028902015
475,0.004729788
476,0.0061723264
477,0.0059878062
478,0.005327372
479,0.0040617837
480,0.0028337117
481,0.0020536114
482,0.003271338
483,0.004453391
484,0.0047116005
485,0.004450756
486,0.0036976284
487,0.0031650495
488,0.002721834
489,0.0048970254
490,0.0044764723
491,0.0017822272
492,0.0015440998
493,0.001697416
494,0.001830546
495,0.0045692623
496,0.0059861485
