,std_dev
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0010857623
337,0.0010825947
338,0.0010849579
339,0.0010550931
340,0.0011803884
341,0.0016690423
342,0.0021201894
343,0.0015584148
344,0.0005888489
345,0.00064345245
346,0.0007816686
347,0.00096260465
348,0.00096764066
349,0.0008630663
350,0.0011786366
351,0.0017939463
352,0.0017072294
353,0.001431381
354,0.0011863157
355,0.0014469525
356,0.0016648346
357,0.0016377096
358,0.0014133338
359,0.00084679405
360,0.00047394447
361,0.0010456446
362,0.0013923384
363,0.0008830015
364,0.001120924
365,0.00158039
366,0.0013747525
367,0.001137522
368,0.001176511
369,0.0011747533
370,0.0011218842
371,0.0008959911
372,0.0016818965
373,0.0023525644
374,0.002303559
375,0.0018328658
376,0.0012047923
377,0.000896121
378,0.0010230788
379,0.0021798718
380,0.0022573082
381,0.0013663435
382,0.0015446086
383,0.0015679658
384,0.0011513057
385,0.001705865
386,0.0016573531
387,0.0010626517
388,0.0013110577
389,0.001396075
390,0.0011737123
391,0.0010007311
392,0.0008614124
393,0.0008719233
394,0.00094327214
395,0.0012173129
396,0.0015550308
397,0.0014042646
398,0.0018457144
399,0.0027240359
400,0.002806736
401,0.0026505422
402,0.0018557786
403,0.0006793589
404,0.001067352
405,0.00085439
406,0.0016173957
407,0.0025296363
408,0.0022678946
409,0.0019065245
410,0.0011974504
411,0.0010232495
412,0.0016510193
413,0.0024722416
414,0.0027699221
415,0.0019372654
416,0.0010178596
417,0.0017689998
418,0.0021809663
419,0.0018137753
420,0.0011832204
421,0.0010780148
422,0.0013915229
423,0.0015924796
424,0.002052945
425,0.0024164354
426,0.0019875707
427,0.0018337548
428,0.0016900272
429,0.0020856175
430,0.0019765433
431,0.0014359485
432,0.0014080936
433,0.0012001938
434,0.0011541335
435,0.0017306622
436,0.0020768915
437,0.0040393085
438,0.0042060735
439,0.0020383196
440,0.0026970855
441,0.0029894086
442,0.002575076
443,0.002239432
444,0.0016156313
445,0.0016943784
446,0.0020292182
447,0.001503707
448,0.00049825263
449,0.0008659279
450,0.0015905778
451,0.0020552264
452,0.00152095
453,0.0007733211
454,0.0015220403
455,0.0031832135
456,0.0035906981
457,0.0025503526
458,0.0018690459
459,0.002176157
460,0.00287137
461,0.0023478959
462,0.0012606753
463,0.001957739
464,0.0016281921
465,0.00059087184
466,0.0010365874
467,0.0018675505
468,0.0044630393
469,0.006381413
470,0.005358269
471,0.0034816046
472,0.0019007148
473,0.001673709
474,0.0033464963
475,0.0039943215
476,0.0031830124
477,0.0029025811
478,0.0026900948
479,0.0029025811
480,0.0025029415
481,0.0030868233
482,0.0039264336
483,0.002609253
484,0.0016658482
485,0.0013356453
486,0.0020478494
487,0.0027906068
488,0.0030368057
489,0.0021202855
490,0.0008091116
491,0.0005374799
492,0.0006962005
493,0.0009788843
494,0.001199563
495,0.0015595348
